Category,CN Code,Description,Country,Type,Value
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Default,Direct,0.31
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Default,Indirect,0.05
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Default,Total,0.36
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Belarus,Direct,0.19
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Belarus,Indirect,0.02
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Belarus,Total,0.21
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Brazil,Direct,0.38
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Brazil,Indirect,0.01
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Brazil,Total,0.39
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",China,Direct,0.28
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",China,Indirect,0.05
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",China,Total,0.33
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",India,Direct,0.34
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",India,Indirect,0.05
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",India,Total,0.39
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Japan,Direct,0.2
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Japan,Indirect,0.04
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Japan,Total,0.24
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",South Korea,Direct,0.13
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",South Korea,Indirect,0.04
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",South Korea,Total,0.17
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Norway,Direct,0.11
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Norway,Indirect,0.04
